# Outlaws, mafias, crime syndicates, and generic illegal groups
scallywag;Pirate;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
pirate;Pirate;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
wariolander;Wariolander;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Mushroom Kingdom and Toads
mushroom_kingdom_group;Toad;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
mushroom_kingdom;Mushroom Kingdom;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
thirteen_mushroom_colonial;Thirteen Mushroom Colonies;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
down_under_toad;Dundie;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Dry Dry Desert
dryite_group;Dryite;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
dryite;Dryite;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
dry_dry_outpost;Dry Dry Outpost;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nomadimouse;Nomadimouse;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Yoshis
yoshi_group;Yoshi;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
yoshi_island;Yoshi Islander;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
yoster;Yo'ster Islander;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
lavalavite;Lavalavite;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Bean Bean Kingdom and outlying areas
beanish;Beanish;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
beanish_group;Beanish;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
beanbean_kingdom;Beanish;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
hoohooligan;Hoohooligan;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Isle Delfino, Piantas, Nokis
delfino_group;Delfino Group;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
delfino;Delfinite;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
fish_islands;Pescacito;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
crab_islands;Crabaise;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
turtle_islands;Testudan;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
jellyfish_islands;Medusan;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
eel_islands;Enguian;;;;;;;;;x
noki_bay;Noki Bay;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
noki;Noki;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
pianta;Pianta;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Twilight Town
twilighter_group;Twilighter;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
twilighter;Twilighter;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Canonical humans
canonical_human_group;Mushroom World Men;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
mario_brothers;Mushroom-Italian;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
new_donk_city_men;New Donker;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
diamond_city_men;Dimond City;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ouji_men;Old Diamond;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#Warudan Cultures
grasslander;Grasslander;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
desertland;Desertlander;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
waterlander;Waterlander;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
giantlander;Giantlander;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
skylander;Skylander;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
icelander;Icelander;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
darklander;Darklander;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Iwata's culture
japanese_group;Extradimensional;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
oriental_men;Nintendoriental;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#Rare Sea Cultures
kongobongo;Kongo Bongo;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kongadien;Kongadien;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kremling;Kremling;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
snowmad;Snowmad;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#Minion Cultures
battlefielder;Battlefielder;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
